Source,Citation,Quote,Comment
Lotus Sutra,Chapter 14,"Mañjuśrī! A Bodhisattva-mahāsattva who performs this third set of peaceful practices in the latter days after [my extinction] when the teachings are about to be destroyed, will be able to expound the Dharma without disturbance. He will be able to have good friends when he reads and recites this sūtra. A great multitude will come to him, hear and receive this sūtra from him, keep it after hearing it, recite it after keeping it, expound it after reciting it, copy it or cause others to copy it after expounding it, make offerings to the copy of this sūtra, honor it, respect it, and praise it.","The Buddha gives this explanation to Mañjuśrī Bodhisattva in Chapter Fourteen of the Lotus Sūtra in which he describes the peaceful practices of a Bodhisattva. The third set of practices involves not despising those who practice the Wonderful Dharma in any way, or hindering their practice by telling them that they are lazy and can never become enlightened. Such treatment goes against the true nature we all share, and can only create conflict."
Lotus Sutra,Chapter 23,"Star-King-Flower! Strew blue lotus flowers and a bowlful of powdered incense to the person who keeps this sūtra when you see him! After strewing these things [to him], you should think, 'Before long he will collect grass [for his seat], sit at the place of enlightenment, and defeat the army of Māra. He will blow the conch-shell horn of the Dharma, beat the drum of the great Dharma, and save all living beings from the ocean of old age, disease and death.’","The Buddha gives this explanation to Star-King-Flower Bodhisattva in Chapter Twenty-Three of the Lotus Sūtra. Māra is the deity who creates confusion and delusion in the world. His army consists of those who reinforce these delusions and reward those who share them. Such rewards do not benefit those who receive them. They only serve to produce fear and attachment which creates misery in the world. With our practice of this Lotus Sūtra, we learn to recognize delusion for what it is, and reject the superficial benefits that come with it."
Lotus Sutra,Chapter 2,"Some children of mine are pure in heart, gentle and wise. They have practiced the profound and wonderful teachings Under innumerable Buddhas [In their previous existence]. I will expound this sūtra of the Great Vehicle to them, And assure them of their future Buddhahood, saying: “You will attain the enlightenment of the Buddha In your future lives.”","The Buddha sings these verses in Chapter Two of the Lotus Sūtra. In the difficulties we face in this world of conflict and attachment, we can lose sight of our purpose to benefit all beings and try to avoid whatever is uncomfortable. When we hear the Buddha assure us of our inherent wisdom, and that our capacity to benefit others will continue to grow despite any obstacles we find, we learn to persevere through misfortunes, and increase our determination to lead all beings to enlightenment."
Lotus Sutra,Chapter 7,"Bhikṣus! It is a very long time since that Buddha passed away. Suppose someone smashed all the earth-particles of one thousand million Sumeru-worlds into ink-powder. Then he went to the east[, carrying the ink-powder with him]. He inked a dot as large as a particle of dust [with that ink-powder] on the world at a distance of one thousand worlds from his world. Then he went again and repeated the inking of a dot on the world at every distance of one thousand worlds until the ink-powder was exhausted. What do you think of this? Do you think that any mathematician or any disciple of a mathematician could count the number of the worlds [he went through]?","The Buddha gives this explanation in Chapter Seven of the Lotus Sūtra. Our concept of time can be limited to what happens in the brief existence we enjoy in this world. We often feel we have no time for what is necessary, much less what we enjoy. With this limited viewpoint, we can find it hard to believe that we have enough time to become enlightened. The Buddha reminds us that there is no shortage of time, and that in all of our existence, we will have opportunities to increase our capacity to benefit others."
Lotus Sutra,Chapter 16,"In order to save the [perverted] people, I expediently show my Nirvāṇa to them. In reality I shall never pass away. I always live here and expound the Dharma.",The Buddha sings these verses in Chapter Sixteen of the Lotus Sūtra. This is part of the explanation that his existence in the physical form of Śākyamuni was only one way that he leads all beings to enlightenment. The Buddha described his ever-present nature as the most difficult of his teachings to believe and understand. Recognizing the presence of the Buddha in the world is the same as recognizing Buddha nature in ourselves and all beings. Knowing that the Buddha is always available to help us in this difficult practice of the Wonderful Dharma means we do not need to rely on our own limited abilities. The store of the Dharma is always available to us. We just need to find it and use it.
Lotus Sutra,Chapter 19,"They will see the reality of all things.  Knowing the position [of this sūtra in the series of sūtras],  And the names and words [of this sūtra], according to the meanings of it,  They will expound [this sūtra] as they understand it.","The Buddha sings these verses to Constant-Endeavor Bodhisattva in Chapter Nineteen of the Lotus Sūtra, describing those who keep the Lotus Sūtra. In our practice of the Wonderful Dharma, we may be able to enjoy the circumstances of being able to spend lots of time studying the Lotus Sūtra and the guidance given by our leader in this age of degeneration, Nichiren Shonin. But even if we do not have that luxury of time, as long as we remember how the Lotus Sūtra uses expedients to lead all beings to enlightenment, that the goal of this sūtra is not just to end suffering, we can teach it using our own capacities, however limited those may be. Each word of the sūtra is an embodiment of the Buddha. When we share these words with others, we share the Buddha."
Nichiren,"Reply to My Lady, the Nun Myōgō (Myōhō-ama Gozen Gohenji)","As I contemplate my own life, I, Nichiren, have studied Buddhism ever since I was a child. Our life is uncertain, as exhaling one’s breath one moment does not guarantee drawing it the next; it is as transient as the dew before the wind and its end occurs suddenly to everyone, the wise and the ignorant, the aged and the young. I thought I should study the matter of the last moment of life first of all, before studying anything else.","Nichiren wrote this passage in his Reply to My Lady, the Nun Myōgō (Myōhō-ama Gozen Gohenji). The Buddha taught that everything that comes together falls apart. Everything that is born must die. Then in the Lotus Sūtra he taught that he sees the world differently. For him living beings have neither birth nor death, they do not appear nor disappear. For each of us, the death of our bodies is certain. As Nichiren instructs, it is beneficial to meditate on this fact and not live in denial of our mortality. At the same time, when we see with the Buddha’s mind, we realize that our lives are not the end of the story. Time and life are abundant, but it it still important to waste neither."
Lotus Sutra,Chapter 15,"World-Honored One! It is difficult for anyone in the world to believe this. It is as difficult as to believe a handsome, black-haired man twenty-five years old who points to men a hundred years old and says, ‘They are my sons,' or as to believe men a hundred years old who point to a young man and say, ‘This is our father. He brought us up.’","Maitreya Bodhisattva explains his perplexity to the Buddha in Chapter Fifteen of the Lotus Sūtra. The Buddha had just revealed that he was who taught all the Bodhisattvas who have appeared from underground to continue teaching the Wonderful Dharma after the extinction of the Buddha. Maitreya realizes that his doubts are no different from those of those gathered to hear the Buddha teach and asks the Buddha to explain. When our experience does not match what the Buddha teaches, we should not keep silence and just accept what he tells us. It is only through sincere questioning that we find the Buddha’s mind and make it our own."
Lotus Sutra,Chapter 10,"Medicine-King! The Bodhisattvas who, having been surprised at hearing this Sūtra of the Lotus Flower of the Wonderful Dharma, doubt and fear it, know this, are beginners in Bodhisattvahood. The Śrāvakas who, having been surprised at hearing this sūtra, doubt and fear it, know this, are men of arrogance.","The Buddha makes this declaration to Medicine-King Bodhisattva in Chapter Ten of the Lotus Sūtra. In his earlier teachings, he described the thoughts, words and deeds which would help shed our delusions and remove suffering. Many of those following him came to believe that they were superior to other beings and did not want to waste their time even associating with them much less attempting to save them from their suffering. With this Lotus Sūtra, the Buddha reveals that even the most wicked and deluded among us have the capacity for enlightenment and deserve our respect. The more we resist this teaching, in our thoughts, words and deeds, the farther we place ourselves from the Buddha’s wisdom."
Lotus Sutra,Chapter 19,"They also will be able to locate the Śrāvakas, Pratyekabuddhas, Bodhisattvas, and Buddhas by smelling their bodies from afar. Even when they recognize all this by smell, their organ of smell will not be destroyed or put out of order. If they wish, they will be able to tell others of the differences [of those scents] because they remember them without fallacy.","The Buddha gives this explanation to Constant-Endeavor Bodhisattva in Chapter Nineteen of the Lotus Sūtra, describing those who keep the Lotus Sūtra. Our sense of smell is often unconscious. We associate smells with places, experiences or even people that we like or dislike. These smells can even cause an emotional reaction by causing us to relive a situation associated with that smell. In the Lotus Sūtra, the Buddha teaches that our everyday experiences are no different from enlightenment, that his great wisdom is not about how to escape from this world. It is about how to use the senses and abilities with which we are blessed in ways we cannot imagine."
Nichiren,Response to a Follower (Dannotsu Bō Gohenji),"Please remember that the service to your lord itself is practicing the teaching of the Lotus Sutra. Interpreting the scriptural statement in the Lotus Sutra, Grand Master T’ien-t’ai, therefore, states in his Great Concentration and Insight: “All the activities and daily work of the people in the secular world do not contradict the truth preached by the Buddha.” Please contemplate the spirit of this scriptural statement again and again.","Nichiren wrote this passage in his Response to a Follower (Dannotsu Bō Gohenji). In our frustration with this world of conflict, we may think it best to remove ourselves from those who are increasing the delusions of others. In this letter, Nichiren reminds us that the relationships we have in our lives are important. Service to others does not necessarily mean giving them what they ask for. It means wishing that they lose their delusions and nourishing the Buddha nature within them."
Lotus Sutra,Chapter 14,"Mañjuśrī! A Bodhisattva-mahāsattva who performs this fourth set of [peaceful] practices after my extinction, will be able to expound the Dharma flawlessly. Bhikṣus, bhikṣuṇīs, upāsakas, upāsikās, kings, princes, ministers, common people, brāhmaṇas and householders will make offerings to him, honor him, respect him, and praise him. The gods in the sky will always serve him in order to hear the Dharma from him. When someone comes to his abode located in a village, in a city, in a retired place or in a forest, and wishes to ask him a question, the gods will protect him day and night for the sake of the Dharma so that the hearer may rejoice because this sūtra was, is, and will be protected by the supernatural powers of the past, present and future Buddhas.","The Buddha gives this explanation to Mañjuśrī Bodhisattva in Chapter Fourteen of the Lotus Sūtra. The fourth set of peaceful practices is not blaming those who do not hear the Lotus Sūtra and resolving to save them when one becomes perfectly enlightened. Rather than becoming upset with those who do not accept this teaching, it is useful to know that we are not alone in wanting to save them, and that by reducing our own delusions we increase our capacity to benefit others."
Nichiren,Treatise on the Ullambana Service (Urabon Gosho),"You have a grandson, Lord Jibu, who is a Buddhist priest. This priest is neither an upholder of precepts nor especially rich in wisdom. He neither observes even one of the 250 precepts nor maintains even one of the 3000 solemn rules of conduct. In wisdom he is like a horse or a cow while in dignity he is like a monkey. Nevertheless, what he reveres is Śākyamuni Buddha and what he believes in is the Lotus Sutra. This like a snake holding a gem or a dragon gratefully holding the relics of the Buddha in Dharma Body.","Nichiren wrote this passage in his Treatise on the Ullambana Service (Urabon Gosho) written to the Grandmother of Lord Jibu. While it may seem to us that Nichiren is criticizing Lord Jibu, he is praising the young man in the highest terms. Our ability to use the Wonderful Dharma to benefit others does not depend on our skill, dedication or wisdom. It depends only on our devotion to the Ever-Present Buddha Śākyamuni, and our confidence and faith in the Lotus Sūtra."
Lotus Sutra,Chapter 24,"World-Honored One! I bring you a message from Pure-Flower-Star-King-Wisdom Buddha. [He wishes to say this.] Are you in good health? Are you happy and peaceful or not? Are the four elements of your body working in harmony or not? Are the worldly affairs bearable or not? Are the living beings easy to save or not? Do they not have much greed, anger, ignorance, jealousy, stinginess and arrogance, or do they? Are they not undutiful to their parents, or are they? Are they not disrespectful to śramaṇas, or are they? Do they not have wrong views, or do they? Are they not evil, or are they? Do they not fail to control their five desires, or do they?","The passage above is how Wonderful-Voice Bodhisattva greets Śākyamuni Buddha in Chapter Twenty-Four of the Lotus Sūtra. This Bodhisattva asks not only about the Buddha, but about those whom the Buddha benefits with his teaching. The Buddha answers that those he teaches have prepared through innumerable lives to receive his wisdom. The questions of Wonderful-Voice show how we obscure the teaching through our delusion and attachments."
Nichiren,Spreading Peace through Right Practice (Risshō Ankoku-ron),"You should promptly discard your false faith and take up the true and sole teaching of the Lotus Sutra at once. Then this triple world of the unenlightened will all become Buddha Lands. Will Buddha lands ever decay? All the worlds in the universe will become pure lands. Will Pure Lands ever be destroyed? When our country does not decay and the world is not destroyed, our bodies will be safe and our hearts tranquil. Believe these words and revere them!","Nichiren wrote this passage in his Treatise on Spreading Peace through Right Practice (Risshō Ankoku-ron). We may believe that we can practice correctly only when the world becomes peaceful. As if so long as we are in this world of conflict, we would need to use force and aggression to create peace. Nichiren turns this idea upside down. He shows that only by our practicing respect towards all beings, and working for their benefit, can we create peace in this world."
Lotus Sutra,Chapter 19,"They will be able to know all the thoughts, deeds, and words, however meaningless, of the living beings of the one thousand million Sumeru-worlds each of which is composed of the six regions. Although they have not yet obtained the wisdom-without-āsravas, they will be able to have their minds purified as previously stated. Whatever they think, measure or say will be all true, and consistent not only with my teachings but also with the teachings that the past Buddhas have already expounded in their sūtras.","The Buddha gives this explanation to Constant-Endeavor Bodhisattva in Chapter Nineteen of the Lotus Sūtra, describing those who keep the Lotus Sūtra. Paradoxically, the process of clarifying our minds so that we can see things for what they are is not an intellectual exercise. The practice of the Wonderful Dharma is not based on learning complicated theories or arcane facts. It can be as simple as chanting Odaimoku sincerely, awakening our nature as Bodhisattvas, and working for the benefit of all beings."
Lotus Sutra,Chapter 7,"How good it is to see a Buddha, To see the Honorable Saint who saves the world! He saves all living beings From the prison of the triple world.","The Brahma Heavenly-Kings of the Zenith sing these verses in Chapter Seven of the Lotus Sūtra. They gave up their kingdoms, their subjects and their homes to travel across innumerable worlds to hear the Wonderful Dharma. They inspire our devotion by showing how important this teaching is to them. For us who know of the Ever-Present Buddha Śākyamuni, we recognize that the Buddha exists everywhere, even in our triple world of form, formlessness and desire. When let go of the delusions that imprison us, and recognize this Buddha in our midst, we find ourselves in the Buddha’s pure land."
Lotus Sutra,Chapter 25,"Listen! World-Voice-Perceiver practiced  According to the conditions of the places [of salvation]. His vow to save [people] is as deep as the sea.  You cannot fathom it even for kalpas.","The Buddha gives this description of World-Voice-Perceiver Bodhisattva (Kannon, Kanzeon, Kuan Yin, Avalokitesvara) to Endless-Intent Bodhisattva in Chapter Twenty-Five of the Lotus Sūtra. As the embodiment of Compassion, World-Voice perceiver demonstrates the boundlessness of our ability to benefit others. We can often feel overwhelmed by the problems in the world, and believe that we are not capable of doing everything that is necessary to lead beings out of their delusions. This chapter reminds us that we are not working alone, and that by depending on wisdom rather than power, we learn to see the wonders that surround us."
Lotus Sutra,Chapter 27,"Medicine-King Bodhisattva and Medicine-Superior Bodhisattva have already obtained those great merits. Because they planted the roots of virtue under many hundreds of thousands of billions of Buddhas [in their previous existence], they obtained those inconceivable merits. All gods and men in the world should bow to those who know the names of these two Bodhisattvas.","The Buddha gives this explanation to the great multitude gathered to hear him in Chapter Twenty-Seven of the Lotus Sūtra. These two Bodhisattvas had been brothers under a great King in their previous life. They used wonders to lead their parents to a Buddha who was teaching the Wonderful Dharma in that world. By knowing the story of these two Bodhisattvas, we also know about the Wonderful Dharma and the Ever-Present Buddha who leads us through all our lives to his enlightenment. When we realize that through our practice we are worthy of respect from all beings, including ourselves, there is no need to demand respect from anyone. We are secure in our assurance of enlightenment."
Lotus Sutra,Chapter 19,"Anyone who expounds the Dharma, if he wishes,  Will be able to cause the living beings  Of the one thousand million Sumeru-worlds  To hear his wonderful voice.","The Buddha sings these verses to Constant-Endeavor Bodhisattva in Chapter Nineteen of the Lotus Sūtra, describing those who keep the Lotus Sūtra. When we learn to hear the voice of the Wonderful Dharma, we recognize it in everything that surrounds us. When we speak with the voice of the Wonderful Dharma, we are in accord with the reality of all things. There is no need to distinguish between our voice and the voice of the Ever-Present Buddha who is always thinking of how to lead all beings to enlightenment. The only thing that blocks this voice is the comfort of our own attachment and delusion."
Nichiren,Treatise on Śubhākarasiṃha (Zemmui-shō),"Even if one should read 80,000 holy scriptures, set up stupas as numerous as the number of dust-particles of the great earth, observe the Mahayana and Hinayana precepts, and love all the people in all the worlds throughout the universe just as one’s sole child, one cannot dissipate the sin of slandering the Lotus Sutra. It is solely due to the sin of slandering the Lotus Sutra that we are unable to attain Buddhahood throughout the past, present and future lives and continue to suffer in the lower six realms.","Nichiren wrote this passage in his Treatise on Śubhākarasiṃha (Zemmui-shō). It is difficult to understand what Nichiren means by “slandering the Lotus Sutra.” Many wise people have debated this term over many years. We know that it prevents us from seeing things as they are and becoming enlightened, but it is as hard to tell whether we are slandering the Sutra as it is to see our own delusions. When we deny the possibility of enlightenment, either for ourselves or others, when we ignore the teaching provided by the Lotus Sutra and rely on our power over others, or when we remain preoccupied with our own suffering, these are surely ways that we slander the Sutra and stray from the path to Enlightenment."
Lotus Sutra,Chapter 11,"“Good man! Go to Śākyamuni Buddha who is now living on Mt. Gṛdhrakūṭa! Ask him on my behalf, ‘Are you in good health? Are you peaceful? Are the Bodhisattvas and Śrāvakas peaceful or not?’ Strew these jeweled flowers to him, offer them to him, and say, ‘That Buddha sent me to tell you that he wishes to see the stūpa of treasures opened.’“","In Chapter Eleven of the Lotus Sūtra, Buddhas and their devotees from innumerable worlds come to our world of conflict and delusion to see Śākyamuni Buddha open the tower inhabited by Many-Treasures Buddha. As our capability for enlightenment wells up from within us, the tower of treasures sprang up from underground when the Buddha asked who would teach the Wonderful Dharma after the Buddha’s extinction. The treasures in the tower are nothing more than Many-Treasures Buddha declaring the Lotus Sūtra to be the Teaching of Equality, the Great Wisdom, the Dharma for Bodhisattvas and the Dharma upheld by the Buddhas."
Lotus Sutra,Chapter 3,"Expound it To those who make efforts, Who have compassion towards others, And who do not spare their lives!","The Buddha sings these verses to all those gathered to hear him teach in Chapter Three of the Lotus Sūtra. These are instructions for us to know who will benefit from the Wonderful Dharma. It is difficult for those who are absorbed in their own suffering to realize the benefit of helping others. It is difficult for those who are distracted by their preoccupations, or who do not believe they can become enlightened, to maintain their efforts to lead all beings to enlightenment. These insights also help us keep our minds open to the Buddha’s teachings."
Lotus Sutra,Chapter 13,"You, the World-Honored One, are our leader. You give peace to gods and men. Hearing that you assured us of our future Buddhahood, We are relieved and satisfied.","These verses are sung by Maha-Prajāpatī Bhikṣuṇī, Yaśodharā Bhikṣuṇī, and their attendants in Chapter Thirteen of the Lotus Sūtra. In our lives we have many desires, some of which we may not recognize. We believe that when these desires are met, only then can we be happy and peaceful. At the foundation of these desires is the desire for liberation. These women recognize that with this desire we have to become enlightened, just knowing that it will be fulfilled is enough to bring joy."
Lotus Sutra,Chapter 10,"If you wish to obtain quickly the knowledge Of the equality and differences of all things, Keep this sūtra, and also make offerings To the keeper of this sūtra!","The Buddha sings these verses to Medicine-King Bodhisattva at the beginning of Chapter Ten of the Lotus Sūtra. When we see things for what they are, how they are similar and how they are different, we see them with the eyes of the Buddha. This Wonderful Dharma in the Lotus Sūtra is the Buddha showing us how to open our eyes to the joys and wonders that exist in this world of conflict and suffering. When we find something valuable, we offer it our time, our thoughts and our devotion. By making offerings to this Wonderful Dharma, and to all those who keep it, our eyes open even more to the truth of our lives."
Lotus Sutra,Chapter 17,"Anyone who keeps this sūtra in the evil world  In the age of the decline of my teachings  Should be considered  To have already made these offerings.","The Buddha sings these verses to Maitreya Bodhisattva in Chapter Seventeen of the Lotus Sūtra. Given the trauma we have suffered in our previous existences, especially the calamity of death, it should be no surprise that our memories of those lives is dim at best. It can be enough to know that beneficial actions bring benefit and harmful actions bring harm, even if we do not know the specific causes of our condition. Our finding and practicing the Wonderful Dharma in this life is an indication of our great generosity in previous lives, and our capacity to continue practicing that same generosity."
Lotus Sutra,Chapter 20,"Great-Power-Obtainer, know this! This Sūtra of the Lotus Flower of the Wonderful Dharma benefits Bodhisattva-mahāsattvas, and causes them to attain Anuttara-samyak-saṃbodhi. Therefore, they should keep, read, recite, expound and copy this sūtra after my extinction.","The Buddha gives this explanation to Great-Power-Obtainer Bodhisattva in Chapter Twenty of the Lotus Sūtra. In several places in the sūtra, the Buddha asked who would continue to teach this Wonderful Dharma after his extinction and lead all beings to Anuttara-samyak-saṃbodhi: perfect unsurpassed enlightenment. When he revealed his Ever-Present Existence in Chapter Sixteen, he assured all those receiving his words that his life is not limited to that of the physical body he inhabited. In truth he is leading all beings throughout all time and space to his wisdom, and this Lotus Sūtra he has given us is the embodiment of that wisdom."
Lotus Sutra,Chapter 8,"You, the World-Honored One, saw that the aspiration for the knowledge of all things was still latent in our minds; therefore, you awakened us, saying, ‘Bhikṣus! What you had attained was not perfect extinction. I caused you to plant the good root of Buddhahood a long time ago.’","Five hundred of the Buddha’s monks give this explanation in Chapter Eight of the Lotus Sūtra. In the story, the Buddha has just assured them of reaching the same enlightenment he found. These monks had worked diligently for many years to rid themselves of suffering, and taught many other beings to become Bodhisattvas and reach the Buddha’s enlightenment, thinking they were not capable of reaching this wisdom. Not believing we are capable of something obscures the capability we have. When the Buddha proclaims that he leads all beings, he reminds us of this capacity and inspires us make efforts to bring all beings, including ourselves, to his joy."
Lotus Sutra,Chapter 25,"Suppose you are sentenced to death,  And the sword is drawn to behead you. If you think of the power of World-Voice-Perceiver,  The sword will suddenly break asunder.","The Buddha gives this description of World-Voice-Perceiver Bodhisattva (Kannon, Kanzeon, Kuan Yin, Avalokitesvara) to Endless-Intent Bodhisattva in Chapter Twenty-Five of the Lotus Sūtra. World-Voice-Perceiver is the embodiment of compassion. When we think of this Bodhisattva, and the power that she holds in this world, we realize what we can accomplish through compassion. When we can be present for the suffering that exists in other beings, and see them without judgement for the flawed creatures that they are, then we allow them to make that same connection with us. The power of compassion is that it inspires others to face what lies at the core of their being: the wish that all beings be peaceful and free from suffering. To break the sword of violence in this world, we must first break it within ourselves."
Lotus Sutra,Chapter 8,"Knowing that people wish to hear The teachings of the Lesser Vehicle, And that they are afraid of having the great wisdom, [My sons, that is,] the Bodhisattvas transform themselves Into Śrāvakas or cause-knowers, And teach the people with innumerable expedients.","The Buddha sings these verses in Chapter Eight of the Lotus S̄ūtra. Our fear of the Buddha’s wisdom comes from the attachment we have to our delusions. At some level we know that we are suffering, but we believe that anything different from how we live now will be worse. There are times when someone who seems to share our delusions can help us move away from them. But then as an actor becomes so absorbed in a role that he forgets his real life, those who choose a life in this world of conflict can forget their existence as Bodhisattvas who have vowed to benefit all beings. This Wonderful Dharma reminds us of this vow and helps us appreciate those who are still bound by delusion and what we can learn from them."
Lotus Sutra,Chapter 13,"Because we are your messengers, We are fearless before multitudes. We will expound the Dharma. Buddha, do not worry!","In Chapter Thirteen of the Lotus Sūtra, innumerable Bodhisattvas sing these verses before the Buddha from whom they had come to hear the Wonderful Dharma. The Buddha had asked who would continue to spread and practice his highest teaching after his extinction. These Bodhisattvas vowed to uphold this teaching through all obstacles, particularly those created by people who were so attached to their delusions that they would slander and persecute anyone who keeps this Lotus Sūtra. The fearlessness of these Bodhisattvas comes from their certainty that this Sūtra leads all beings to enlightenment, and their compassionate resolve to benefit everyone."
Lotus Sutra,Chapter 9,"You, the World-Honored One, are exceptional. You reminded me of the teachings Of innumerable Buddhas in the past As if I had heard them today.","Ānanda, the Buddha’s cousin and one of his leading disciples, sings these verses in Chapter Nine of the Lotus Sūtra. In the Story, Ānanda had just been personally assured by the Buddha that he would become a Buddha himself in a future life. All the teachings of the Buddha across all time are always available to us. What prevents us from hearing them and putting them into practice is nothing more than our own attachment to our suffering and our doubts about our capacity for wisdom and compassion. When we take to heart the assurance that we and all beings can become enlightened, it clears away our delusion and allows to see the Buddha teaching us in all aspects of our lives."
Lotus Sutra,Chapter 24,"When the Buddha expounded this Chapter of Wonderful-Voice Bodhisattva, the eighty-four thousand people, who had come accompanying Wonderful-Voice Bodhisattva, obtained the ability to practice the samādhi by which they could transform themselves into other living beings. Innumerable Bodhisattvas of this Sahā-World also obtained the ability to practice this samādhi.","This description comes at the end of Chapter Twenty-Four of the Lotus Sūtra. In the story, Wonderful-Voice Bodhisattva had come to our world of conflict and delusion from his perfect world to hear the Buddha teach the Wonderful Dharma. The Bodhisattvas in this world asked the Buddha about the transformations Wonderful-Voice made to benefit others. This chapter shows how those beings who have vowed to benefit us appear in ways we may not recognize right away. It also shows us the capability we have as Bodhisattvas to transform ourselves for the benefit of others."
Lotus Sutra,Chapter 4,"Sometimes he chided him, saying: “Work hard!” At other times he coaxed him, saying: “I will treat you as my son.”","These verses are part of the story of the Wayward Son told by Subhūti, Mahā-Kātyāyana, Mahā-Kāśyapa, and Mahā-Maudgalyāyana in Chapter Four of the Lotus Sūtra. The son in the story has become attached to his lowly existence. The father must teach him slowly with expedients to prepare him to come into his inheritance. The story explains the disciples’ understanding of how the Buddha uses expedients to prepare us to aspire for enlightenment. The Buddha leads each of us differently, and as we progress in our wisdom, he changes how he teaches us. All this is preparation for us to come into the Buddha’s own mind and enjoy his wisdom."
Lotus Sutra,Chapter 8,"The Nirvāṇa we attained was Only part of the immeasurable treasures of yours. We were like a foolish man with no wisdom. We satisfied ourselves with what little we had attained.","Five hundred of the Buddha’s monks give this explanation in Chapter Eight of the Lotus Sūtra. They had spent all of their time with the Buddha working to rid themselves of suffering. While this is a remarkable achievement, it does not compare to the true purpose of the Buddha’s teaching. When these monks heard the Buddha teach the Lotus Sutra, and understood that their true purpose was to benefit others, they realized that their earlier practice was preparation. By remaining preoccupied with suffering, they had lost sight of the treasure of enlightenment."
Nichiren,Letter to his Disciple Nichiro (Tsuchi-ro Gosho),"Tomorrow, I, Nichiren, will be exiled to Sado Island. In this cold evening I am thinking of you in the cold dungeon. My thought is that you have read and practiced the Lotus Sutra with your thought and action, which would save your parents, brothers, sisters, relatives, ancestors and everyone around you. Other people read the sutra vocally without feeling it in their hearts. Even though they might read it with their heart, they do not experience it as the sutra teaches. Compared with them you are very precious since you are practicing the sutra with your actions, voice and spirit.","Nichiren wrote this passage in a Letter to his Disciple Nichiro (Tsuchi-ro Gosho). At this point in Nichiren’s life, he had been placed on the execution mat at Tatsunokuchi Beach, only to have the execution stopped at the last minute. Instead of deterring him from teaching the Wonderful Dharma, this experience cemented his resolve to continue admonishing all those who were harming the people of Japan. He taught that rewarding delusions and leading people away from the Buddha’s wisdom only causes misery. Nichiren recognized that his life was the experience of the Lotus Sūtra, and showed his appreciation to everyone who, as he put it, “reads it with their bodies.”"
Lotus Sutra,Chapter 19,"When they expound the scriptures of non-Buddhist schools, or give advice to the government, or teach the way to earn a livelihood, they will be able to be in accord with the right teachings of the Buddha.","The Buddha gives this explanation to Constant-Endeavor Bodhisattva in Chapter Nineteen of the Lotus Sūtra, describing those who keep the Lotus Sūtra. In this chapter, the Buddha shows that our practice of this Wonderful Dharma is not separate from our existence in this world. The purpose of the Buddha’s wisdom is not to escape to a better life, but to see our lives for what they are, and to use that clarity for the benefit of all beings."
Lotus Sutra,Chapter 16,"I know who is practicing the Way and who is not. Therefore I expound various teachings To all living beings According to their capacities.","The Buddha sings these verses in Chapter Sixteen of the Lotus Sūtra. Even though the Buddha knows when we have strayed from the way of compassion and wisdom that he has opened for us, he knows that the innate capacity we have for enlightenment remains unchanged. Therefore, he does not judge us, or give up in his efforts to lead us away from our delusions. When we maintain our determination to save all beings despite their delusions, we maintain this mind of the Buddha and nourish the seeds of our own enlightenment."
Lotus Sutra,Chapter 12,"Only you know that I [am qualified to] attain Bodhi Because I heard [the Dharma]. I will expound the teachings of the Great Vehicle And save all living beings from suffering.","These verses are sung to the Buddha by the six-year-old daughter of the dragon-king Sāgara in Chapter Twelve of the Lotus Sūtra. She appeared before the congregation when called by the Bodhisattva Mañjuśrī from whom she had been taught the Wonderful Dharma of the Lotus Sūtra. Most of those gathered did not believe that such a young creature, much less a female, could reach the same enlightenment as the Buddha. But then before their eyes, she made all the transformations necessary and began to teach the Wonderful Dharma herself."
Lotus Sutra,Chapter 7,"The Buddhas, the Leaders, expound the teaching of Nirvāṇa In order to give a rest [to all living beings]. When they see them having already had a rest, They lead them to the wisdom of the Buddha.","The Buddha sings these verses in Chapter Seven of the Lotus Sūtra. These are part of his explanation of the parable of the Magic City. In this story, a group of people hire a guide to lead them through a dangerous wilderness to reach a city of treasures. Halfway through the journey, the people lose confidence and ask the guide to take them back to where they started. The guide conjures up a magic city and gives the people a chance to rest. The people believed this illusion was their destination. The guide then made the city disappear and implored his charges to continue their journey. The Buddha compares his teachings of the end of suffering to the fabricated city, and the true city of treasures to his enlightenment. As the travelers had to leave their delusions about suffering and continue on the way of the Bodhisattva towards enlightenment, so must we set aside the Buddha’s expedient teachings and uphold the Wonderful Dharma of the Lotus Sūtra."
Lotus Sutra,Chapter 23,"Having made these offerings [to the Buddha], he emerged from the samādhi, and thought, 'I have now made offerings to the Buddha by my supernatural powers. But these offerings are less valuable than the offering of my own body.’","In Chapter Twenty-Three of the Lotus Sūtra, the Buddha tells the story of Gladly-Seen-By-All-Beings Bodhisattva, the previous life of Medicine-King Bodhisattva. This Bodhisattva practiced under an ancient Buddha, and made exorbitant offerings to that Buddha through his supernatural powers. He then realized that all the riches of the universe that he could conjure up paled in comparison to the treasure of his own body and his own life. He then made an offering of his body to the Buddha, which illuminated innumerable worlds. Nichiren wrote often of the hardships he faced in his life and those of his followers. He wrote of “reading the Lotus Sūtra with our bodies,” meaning bringing the Buddha’s wisdom to life in our lives. When we act according to the Wonderful Dharma, no matter what hardships we face, then we too are living the Lotus Sūtra, and making a perfect offering from our gratitude to the Buddha."
